ID_Cliente,Churn,Genero,Idoso,Parceiro,Dependentes,Meses_Contrato,Servico_Telefone,Multiplas_Linhas,Servico_Internet,Seguranca_Online,Backup_Online,Protecao_Dispositivo,Suporte_Tecnico,Streaming_TV,Streaming_Filmes,Contrato,Fatura_Online,Metodo_Pagamento,Gasto_Mensal,Gasto_Total
0002-ORFBO,Nao,Feminino,0,Sim,Sim,9,Sim,No,DSL,No,Yes,No,Yes,Yes,No,One year,Sim,Mailed check,65.6,593.3
0003-MKNFE,Nao,Masculino,0,Nao,Nao,9,Sim,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Nao,Mailed check,59.9,542.4
0004-TLHLJ,Sim,Masculino,0,Nao,Nao,4,Sim,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Sim,Electronic check,73.9,280.85
0011-IGKFF,Sim,Masculino,1,Sim,Nao,13,Sim,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Sim,Electronic check,98.0,1237.85
0013-EXCHZ,Sim,Feminino,1,Sim,Nao,3,Sim,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Sim,Mailed check,83.9,267.4
0013-MHZWF,Nao,Feminino,0,Nao,Sim,9,Sim,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Sim,Credit card (automatic),69.4,571.45
0013-SMEOE,Nao,Feminino,1,Sim,Nao,71,Sim,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Sim,Bank transfer (automatic),109.7,7904.25
0014-BMAQU,Nao,Masculino,0,Sim,Nao,63,Sim,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Sim,Credit card (automatic),84.65,5377.8
0015-UOCOJ,Nao,Feminino,1,Nao,Nao,7,Sim,No,DSL,Yes,No,No,No,No,No,Month-to-month,Sim,Electronic check,48.2,340.35
0016-QLJIS,Nao,Feminino,0,Sim,Sim,65,Sim,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Sim,Mailed check,90.45,5957.9
0017-DINOC,Nao,Masculino,0,Nao,Nao,54,Nao,Sem servico de telefone,DSL,Yes,No,No,Yes,Yes,No,Two year,Nao,Credit card (automatic),45.2,2460.55
0017-IUDMW,Nao,Feminino,0,Sim,Sim,72,Sim,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Sim,Credit card (automatic),116.8,8456.75
0018-NYROU,Nao,Feminino,0,Sim,Nao,5,Sim,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Sim,Electronic check,68.95,351.5
0019-EFAEP,Nao,Feminino,0,Nao,Nao,72,Sim,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Sim,Bank transfer (automatic),101.3,7261.25
